Ano;Sigla Veículo;Veículo;Qualis;Fator de Impacto;Título;Docentes
2016;Webmedia;Brazilian Symposium on Multimedia and the Web;B3;7,000;ExCAM - Uma metodologia Crowdsourcing para a autoria de conteúdo extra para vídeos;Tina Fey
2015;RBIE;Revista Brasileira de Informática na Educação;B3;0,000;Sobre a aplicação de ontologias para orientar agentes a responder perguntas;Kristen Wiig,Jason Sudeikis
2015;REFSQ;Working Conference on Requirements Engineering: Foundations for Software Quality;B3;15,000;From Stakeholder?s Requirements to Formal Specifications through Refinement;Seth Meyers
2015;WIE;Workshop de Informática na Escola;B3;7,000;Relatos de Aprendizagens e Diretrizes para Planejamento de Disciplinas que usem Jogos Digitais aplicados à Educação;Kristen Wiig
2015;Webmedia;Brazilian Symposium on Multimedia and the Web;B3;7,000;A Model-Driven Approach for the Design of Web Information Systems based on Frameworks;Kenan Thompson
2015;iSys;Revista Brasileira de Sistemas de Informação;B3;0,000;Tools Integration for Supporting Software Measurement: A Systematic Literature Review;Maya Rudolph,Bill Hader
2016;CMC;Concept Maps Conference;B4;0,000;AUTOMATIC CONSTRUCTION OF CONCEPT MAPS FROM TEXTS;Jason Sudeikis
2016;CMC;Concept Maps Conference;B4;0,000;ONTOMAP: A SERVICE FOR THE TRANSFORMATION OF CONCEPT MAPS TO SHALLOW OWL ONTOLOGIES;Jason Sudeikis
2016;EMMSAD;International Conference on Exploring Modeling Methods for Systems Analysis and Design;B4;0,000;PoN-S: A Systematic Approach for Applying the Physics of Notation (PoN);Seth Meyers,Maya Rudolph,Bill Hader
2016;EMMSAD;International Conference on Exploring Modeling Methods for Systems Analysis and Design;B4;0,000;Representing Dynamic Invariants in Ontologically Well-Founded Conceptual Models;Fred Armisen
2016;RCIS;International Conference on Research Challenges in Information Science;B4;12,000;How Software Changes the World: The Role of Assumptions;Seth Meyers
2016;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Conjunto Mínimo de Observadores para Geração de Matrizes de Tráfego;Andy Samberg
2016;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Inserção de restrições de sincronização no roteamento de veículos ? Aplicação a um problema no setor florestal;Will Forte
2016;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Meta-heurística grasp aplicada ao problema do corte bidimensional não-guilhotinado;Will Forte
2016;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Um algoritmo grasp para o SALBP-2;Will Forte
2016;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Um algoritmo simulaterd annealing e um híbrido VNS/ILS para resolver o problema de layout em múltiplas linhas;Will Forte
2016;SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B4;0,000;CAPCOM - Construtor de Arquiteturas Pedagógicas para Dinâmicas Colaborativas com Multimı́dia;Tina Fey
2016;SBSI;Brazilian Symposium on Information Systems;B4;0,000;Metodologia de Avaliação de Portais da Transparência Municipais;Kristen Wiig
2016;TISE;Congreso Internacional de Informática Educativa;B4;0,000;Utilizando o SCRATCH no desenvolvimento de lógica de programação como contribuição interdisciplinar;Jason Sudeikis
2015;PoEM;IFIP WG 8.1 working conference on the Practice of Enterprise Modelling;B4;0,000;Ontology-based Modeling of Cloud Services: Challenges and Perspectives;Seth Meyers,Maya Rudolph,Bill Hader
2015;SBGames;Simpósio Brasileiro de Jogos e Entretenimento Digital;B4;0,000;Avaliação para Aprendizagem Baseada em Jogos: Proposta de um Framework;Kristen Wiig
2015;SBGames;Simpósio Brasileiro de Jogos e Entretenimento Digital;B4;0,000;Jogos Educacionais Adaptativos: Promovendo Experiências Personalizadas;Kristen Wiig
2015;SBGames;Simpósio Brasileiro de Jogos e Entretenimento Digital;B4;0,000;Modelo para um Framework Computacional para Avaliação Formativa da Aprendizagem em Jogos Digitais;Kristen Wiig
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Desenvolvimento de um algoritmo de Busca Local Iterada para o problema Dial-a-Ride;Will Forte
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Meta heurística Simulated Annealing aplicada ao problema de corte bidimensional não-guilhotinado;Will Forte
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Scheduling Connected Topologies in Wireless Sensor Networks under the Physical Interference Model;Andy Samberg
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Simulated Annealing Aplicado ao Problema de Ordenação em Linhas Paralelas;Will Forte
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Um Simples e Robusto GRASP para o Job Shop Scheduling Problem;Will Forte
2015;SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;0,000;Um algoritmo GRASP aplicado ao problema de layout de facilidades em fila única.;Will Forte
2015;SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B4;0,000;Modelo para descrição de espaços colaborativos: Apoiando a realização de Arquiteturas Pedagógicas;Tina Fey,Kristen Wiig
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;AMBIENTE VIRTUAL DE APRENDIZAGEM - A INCLUSÃO AUTÔNOMA DOS APRENDIZES DEFICIENTES VISUAIS;Jason Sudeikis
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;Ambiente multiagente para interações síncronas;Tina Fey
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;Automatizando uma argumentação construtivista por meio dos mapas conceituais;Jason Sudeikis
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;Contextualização e Caracterização de uma Abordagem Tecnológica para a Construção de Mapas Conceituais;Jason Sudeikis
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;CriEduc - Sistema web de aprendizagem com tecnologias geoespaciais;Tina Fey
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;OntoMap: De Mapas Conceituais a Ontologias OWL;Jason Sudeikis
2015;TISE;Congreso Internacional de Informática Educativa;B4;0,000;Reconhecimento de voz para Inclusão de deficientes visuais em ambientes virtuais de aprendizagem;Tina Fey,Jason Sudeikis
2016;CINTED;Ciclo de Palestras de Novas Tecnologias na Educação;B5;0,000;Um Ambiente de Autoria para Aplicações com Realidade Aumentada: A3RA;Kristen Wiig
2016;LACLO;Conferência Latino-Americana de Objetos e Tecnologias de Aprendizagem;B5;6,000;A categorization of technological approaches to concept maps construction;Jason Sudeikis
2016;LACLO;Conferência Latino-Americana de Objetos e Tecnologias de Aprendizagem;B5;6,000;An IoT computational robotics learning laboratory in Vila Velha, Espirito Santo;Jason Sudeikis
2016;LACLO;Conferência Latino-Americana de Objetos e Tecnologias de Aprendizagem;B5;6,000;An innovative methodology based on mediation for technological distance learning: A case study of the ?integrated student? Project;Jason Sudeikis
2015;ACR;APPLIED COMPUTING REVIEW;B5;0,750;An ISO-based software process ontology pattern language and its application for harmonizing standards;Seth Meyers,Maya Rudolph,Bill Hader
2106;IEEE;Revista IEEE América Latina;C;0,000;Demand Planning in Smart Homes;Andy Samberg
2017;CTB;Computer on The Beach;C;0,000;BitMatrix: Ferramenta para Geração de Matrizes de Tráfego Ingresso-Egresso usando Bitmaps;Andy Samberg
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;Apoio computacional para a Mediação Pedagógica em ?Debate de Teses?;Kristen Wiig
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;Arcabouço Conceitual de Adaptação de Recursos Educacionais para Recomendação de Arquiteturas Pedagógicas;Kristen Wiig
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;AvaGames: Um Ambiente para Apoio a Avaliação da Aprendizagem em Jogos Digitais;Kristen Wiig
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;CAPCOM - Construtor de Arquiteturas Pedagógicas Colaborativas para Operações Cognitivas sobre Dados Multimídia;Tina Fey
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;Os pequenos nativos digitais e suas percepções sobre o mundo digital;Kristen Wiig
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;Um Ambiente para Autoria e Realização de Aventuras Pedagógicas Digitais;Kristen Wiig
2016;CBIE;Congresso Brasileiro de Informática na Educação;C;7,000;Uma plataforma para construção de arquiteturas pedagógicas para a aprendizagem de LIBRAS;Tina Fey
2016;ITOR;International Transactions in Operational Research;C;0,000;Exact formulations for the minimum interference problem in k -connected ad hoc wireless networks;Andy Samberg
2016;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;An Ontological Analysis of Capability Modeling in Defense Enterprise Architecture Frameworks;Fred Armisen,Seth Meyers
2016;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;Extending an Ontology Editor for Domain-related Ontology Patterns Reuse: An Application in the Collaboration Domain;Seth Meyers,Amy Poehler
2016;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;Process Integration in Semantic Enterprise Application Integration: a Systematic Mapping;Maya Rudolph,Bill Hader
2016;PAEE;International  Symposium  on  Project  Approaches  in  Engineering  Education;C;0,000;Aprendizagem Ativa no Desenvolvimento de Sistemas Colaborativos;Kristen Wiig
2016;QMMQ;International Workshop on Quality of Models and Models of Quality;C;0,000;The Design of a Core Value Ontology using Ontology Patterns;Seth Meyers
2016;SABTIC;Seminario Argentina-Brasil de Tecnologías de la Información y la Comunicación;C;0,000;Um Sistema Especialista para o Planejamento de Auditorias Baseado em Análise de Riscos;Kristen Wiig
2016;Web4All;Web for All Conference;C;0,000;Identifying challenges and opportunities in computer-based vocational training for low-income communities of people with intellectual disabilities;Jay Pharoah
2015;CogSIMA;International InterDisciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support;C;13,000;Assessing situation models with a lightweight formal method;Fred Armisen
2015;DLC;DIÁLOGOS DE LA COMUNICACIÓN;C;0,000;Un Estudio de Caso de Reconocimiento de Patrones en los Textos Colectivos en el Ciberespacio Mediante la Herramienta Wiki en Cursos a Distancia de Pregrado;Jason Sudeikis
2015;ENEGEP;Encontro Nacional de Engenharia de Produção;C;0,000;A qualidade do serviço de transporte de cadeirantes na grande Vitória-ES;Will Forte
2015;ENEGEP;Encontro Nacional de Engenharia de Produção;C;0,000;meta-heurística simulated annealing aplicada ao problema do roteamento de veículos capacitados com restrições de carregamento bidimensional;Will Forte
2015;ENMC;Encontro Nacional de Modelagem Computacional;C;0,000;Um algoritmo ILS para o Problema de Alocação de Facilidades em um Corredor;Will Forte
2015;ERI;Encontro Regional de Informática de Goiás;C;0,000;RaspiWRT: Dispositivo Aberto para Programação e Configuração de Redes Domésticas usando\Raspberry Pi e Linux;Andy Samberg
2015;FOFAI;International Workshop on Formal Ontologies for Artificial Intelligence;C;0,000;Towards an Ontological Analysis of Powertypes;Seth Meyers,Fred Armisen
2015;IBM;IBM Journal of Research and Development;C;0,000;Toward a platform to support vocational training of people with disabilities;Jay Pharoah
2015;ICAI;International Conference on Artificial Intelligence;C;0,000;A Cluster-based Algorithm for Anomaly Detection in Time Series Using Mahalanobis Distance;Tina Fey
2015;Impresa;Revista Iberoamericana de Educación;C;0,000;Trajetórias de aprendizagens em uma formação de professores na modalidade EAD;Kristen Wiig
2015;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;A Systematic Mapping of the Literature on Legal Core Ontologies;Seth Meyers,Fred Armisen
2015;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;An Empirical Study to validate the Use of Ontological Guidelines in the Creation of i* Models;Seth Meyers,Amy Poehler
2015;ONTOBRAS;Brazilian Symposium on Ontology Research;C;0,000;Exploring Ontologies for Semantic Documentation in Project Management;Maya Rudolph,Bill Hader
2015;QMMQ;International Workshop on Quality of Models and Models of Quality;C;0,000;Modeling Stories for Conceptual Model Assessment;Fred Armisen
2015;RIA;Revista de Informática Aplicada;C;0,000;CAPCOM ? Construtor de Arquiteturas Pedagógicas para Dinâmicas Colaborativas com Dados Multimídia;Jason Sudeikis
2015;VMBO;International Workshop on Value Modeling and Business Ontologies;C;0,000;Modeling Service Dynamics: a Case Study;Seth Meyers
2015;WAPSEDI;Workshop de Arquiteturas Pedagógicas para Suporte à Educação a Distância mediada pela Internet;C;0,000;Uma Arquitetura Pedagógica para Aprendizagem de Pilotagem de Aeronaves;Tina Fey
2015;WTDQS;Workshop de Teses e Dissertações em Qualidade de Software;C;0,000;Um Método para Seleção de Indicadores de Serviços de TI;Maya Rudolph
